City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Koupela,BF,12.1794,-0.3517,81.1,65,87,12.41,overcast clouds
241,Noyabrsk,RU,63.1994,75.4507,58.3,83,97,12.37,overcast clouds
242,Cururupu,BR,-1.8283,-44.8683,73.44,96,18,2.86,few clouds
243,Moranbah,AU,-22.0016,148.0466,65.57,63,1,13.91,clear sky
244,Fort Frances,CA,48.5999,-93.4003,80.17,64,0,5.75,clear sky
245,Stromness,GB,58.965,-3.296,52.88,93,100,11.99,overcast clouds
246,Deputatskiy,RU,69.3,139.9,49.23,34,67,13.35,broken clouds
247,Beringovskiy,RU,63.05,179.3167,44.56,89,100,11.16,overcast clouds
248,Batagay-Alyta,RU,67.8006,130.4114,67.51,42,97,11.34,overcast clouds
249,Ust-Tsilma,RU,65.441,52.1498,48.72,79,93,6.73,overcast clouds
250,Misratah,LY,32.3754,15.0925,80.15,60,0,7.92,clear sky
251,Do Gonbadan,IR,30.3586,50.7981,78.89,24,0,2.3,clear sky
252,Vanimo,PG,-2.6741,141.3028,84.22,68,82,7.11,broken clouds
253,Selty,RU,57.3132,52.1345,52.99,94,54,4.7,broken clouds
254,Fenoarivo Atsinanana,MG,-17.3667,49.4167,67.26,85,84,8.48,light rain
255,Ahipara,NZ,-35.1667,173.1667,61.0,88,98,9.17,overcast clouds
256,Jumla,NP,29.2747,82.1838,62.29,91,83,1.68,broken clouds
257,Armidale,AU,-30.5167,151.65,50.52,50,0,2.44,clear sky
258,Sitka,US,57.0531,-135.33,64.29,68,40,8.05,scattered clouds
259,Nouadhibou,MR,20.931,-17.0347,71.58,73,0,21.85,clear sky
260,Auki,SB,-8.7676,160.7034,84.43,66,23,5.35,few clouds
261,Omboue,GA,-1.5746,9.2618,69.76,90,37,5.23,scattered clouds
262,Alta Floresta,BR,-9.8756,-56.0861,76.32,49,12,3.15,few clouds
263,Alexandria,EG,31.2156,29.9553,77.81,79,0,13.47,clear sky
264,Sabha,LY,27.0377,14.4283,84.76,16,0,7.9,clear sky
265,Ocala,US,29.1872,-82.1401,75.18,73,0,4.61,clear sky
266,Ucluelet,CA,48.9329,-125.5528,70.11,59,8,9.69,clear sky
267,Huangchuan,CN,32.1272,115.0394,85.06,70,82,10.49,broken clouds
268,Garbolovo,RU,60.3413,30.4955,55.99,80,2,4.5,clear sky
269,Ler,SS,8.3018,30.1418,70.59,89,100,3.94,overcast clouds
270,Havoysund,NO,70.9963,24.6622,48.43,82,42,12.86,scattered clouds
271,Nome,US,64.5011,-165.4064,51.17,71,20,8.05,few clouds
